 AX   BX   CX   DX   SP   BP   SI   DI  FLAGS IP
0001 0030 0003 0004 ff8a ff8a ffa0 14e5 -S-- 0179:8b4604       mov ax, [bp+4] ;[ff8e]0001
0001 0030 0003 0004 ff8a ff8a ffa0 14e5 -S-- 017c:8b5e06       mov bx, [bp+6] ;[ff90]ffa0
0001 ffa0 0003 0004 ff8a ff8a ffa0 14e5 -S-- 017f:cd20         int 20
<write(1, 0xffc6, 1) => 1>
0000 ffa0 0003 0004 ff8a ff8a ffa0 14e5 -S-- 0181:5d           pop bp
0000 ffa0 0003 0004 ff8c ff96 ffa0 14e5 -S-- 0182:c3           ret
0000 ffa0 0003 0004 ff8e ff96 ffa0 14e5 -S-- 0142:5b           pop bx
0000 0001 0003 0004 ff90 ff96 ffa0 14e5 -S-- 0143:5b           pop bx
0000 ffa0 0003 0004 ff92 ff96 ffa0 14e5 -S-- 0144:89c7         mov di, ax
0000 ffa0 0003 0004 ff92 ff96 ffa0 0000 -S-- 0146:09ff         or di, di
0000 ffa0 0003 0004 ff92 ff96 ffa0 0000 --Z- 0148:7403         je 014d
0000 ffa0 0003 0004 ff92 ff96 ffa0 0000 --Z- 014d:837c0200     cmp [si+2], 0 ;[ffa2]0001
0000 ffa0 0003 0004 ff92 ff96 ffa0 0000 ---- 0151:7d0e         jnl 0161
0000 ffa0 0003 0004 ff92 ff96 ffa0 0000 ---- 0161:8b4402       mov ax, [si+2] ;[ffa2]0001
0001 ffa0 0003 0004 ff92 ff96 ffa0 0000 ---- 0164:e91c00       jmp 0183
0001 ffa0 0003 0004 ff92 ff96 ffa0 0000 ---- 0183:5f           pop di
0001 ffa0 0003 0004 ff94 ff96 ffa0 14e5 ---- 0184:5e           pop si
0001 ffa0 0003 0004 ff96 ff96 0000 14e5 ---- 0185:89ec         mov sp, bp
0001 ffa0 0003 0004 ff96 ff96 0000 14e5 ---- 0187:5d           pop bp
0001 ffa0 0003 0004 ff98 ffb8 0000 14e5 ---- 0188:c3           ret
0001 ffa0 0003 0004 ff9a ffb8 0000 14e5 ---- 0127:83c406       add sp, 6
0001 ffa0 0003 0004 ffa0 ffb8 0000 14e5 -S-- 012a:e95800       jmp 0185
0001 ffa0 0003 0004 ffa0 ffb8 0000 14e5 -S-- 0185:89ec         mov sp, bp
0001 ffa0 0003 0004 ffb8 ffb8 0000 14e5 -S-- 0187:5d           pop bp
